id,sex,age,race,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,decile_score,v_decile_score,v_score_text,priors_count
1,Male,69,Other,1,F,0,0,1,1,Low,0
3,Male,34,African-American,1,F,1,1,3,1,Low,0
5,Male,23,African-American,1,F,0,0,8,6,Medium,1
6,Male,43,Other,76,F,0,0,1,1,Low,2
7,Male,44,Other,0,M,0,0,1,1,Low,0
9,Male,43,Other,1,F,0,0,4,3,Low,3
10,Female,39,Caucasian,1,M,0,0,1,1,Low,0
13,Male,21,Caucasian,308,F,1,1,3,5,Medium,1
14,Male,27,Caucasian,1,F,0,0,4,4,Low,0
16,Female,37,Caucasian,0,M,0,0,1,1,Low,0
18,Male,41,African-American,1,F,0,0,4,2,Low,0
21,Male,37,Hispanic,0,M,0,0,1,1,Low,0
22,Male,25,African-American,1,F,0,0,10,9,High,3
23,Male,31,Caucasian,1,F,1,1,5,4,Low,6
28,Female,21,Caucasian,2,F,0,0,4,5,Medium,0
32,Male,43,Caucasian,1,M,0,0,1,2,Low,1
33,Male,32,Other,1,M,0,0,3,4,Low,0
37,Male,27,African-American,1,F,1,1,3,3,Low,8
38,Female,36,Caucasian,95,F,0,0,3,1,Low,3
40,Male,33,African-American,1,F,1,1,10,6,Medium,0
45,Male,55,Caucasian,1,F,0,0,1,1,Low,0
51,Male,26,Caucasian,382,M,0,0,8,8,High,6
55,Male,29,Caucasian,1,M,0,0,2,2,Low,0
56,Female,21,African-American,1,F,0,0,8,8,High,2
57,Male,51,African-American,1,M,0,0,1,1,Low,2
61,Female,51,African-American,1,F,0,0,2,2,Low,7
66,Male,25,Caucasian,1,M,1,1,10,9,High,9
67,Male,35,African-American,1,F,1,1,8,3,Low,13
68,Male,49,Caucasian,0,M,0,0,1,1,Low,0
70,Male,29,African-American,1,F,0,0,4,3,Low,0
72,Female,28,Other,1,F,0,0,2,2,Low,0
77,Female,63,Hispanic,219,F,0,0,1,1,Low,1
79,Male,31,African-American,1,F,1,0,5,7,Medium,15
83,Male,30,Hispanic,0,M,0,0,7,3,Low,0
84,Male,49,African-American,1,M,0,0,1,1,Low,4
85,Male,53,Caucasian,13,F,0,0,5,2,Low,8
87,Male,35,African-American,1,F,0,0,3,2,Low,5
97,Male,62,Hispanic,1,M,0,0,1,1,Low,0
99,Male,33,Other,1,M,0,0,1,1,Low,0
100,Female,56,African-American,1,M,0,0,1,1,Low,0
101,Male,45,Hispanic,1,F,1,1,1,1,Low,6
102,Male,22,Hispanic,1,F,0,0,4,6,Medium,1
105,Male,39,African-American,1,M,0,0,4,2,Low,1
111,Male,40,African-American,15,F,0,0,2,1,Low,2
114,Male,22,Caucasian,1,F,0,0,8,6,Medium,0
115,Female,26,African-American,1,F,1,1,4,3,Low,1
116,Male,27,Caucasian,44,F,1,1,7,8,High,1
119,Male,32,African-American,1,F,0,0,2,1,Low,0
120,Male,41,African-American,5185,M,0,0,2,2,Low,1
122,Male,30,African-American,1,M,1,1,10,9,High,8
128,Male,25,African-American,1,F,1,1,10,10,High,14
130,Male,20,Other,1,F,1,1,5,8,High,0
136,Female,35,African-American,1,M,0,0,2,1,Low,1
142,Male,25,Caucasian,1,F,1,1,8,9,High,9
143,Male,71,African-American,804,M,0,0,7,3,Low,12
145,Female,20,Caucasian,1,F,0,0,7,8,High,0
147,Male,66,Caucasian,64,F,0,0,1,1,Low,3
148,Female,54,Caucasian,1,M,0,0,1,1,Low,0
150,Female,44,Hispanic,2,M,0,0,1,1,Low,0
151,Male,19,African-American,10,M,1,1,4,7,Medium,1
152,Male,24,African-American,137,F,0,0,2,3,Low,1
153,Male,30,African-American,1,F,0,0,2,2,Low,1
154,Female,39,Caucasian,1,F,1,1,1,1,Low,0
157,Male,30,Caucasian,1,F,0,0,4,2,Low,0
158,Male,31,Caucasian,1,M,0,0,5,2,Low,0
159,Female,39,Caucasian,1,F,0,0,4,3,Low,1
160,Male,59,African-American,265,F,1,1,9,4,Low,14
163,Male,43,Caucasian,30,F,0,0,1,1,Low,1
171,Male,34,Caucasian,0,F,0,0,5,5,Medium,0
174,Male,37,African-American,0,F,0,0,2,1,Low,3
180,Male,31,African-American,1,M,0,0,7,8,High,1
182,Female,30,Other,1,F,0,0,2,2,Low,1
183,Male,31,Caucasian,0,F,1,1,10,7,Medium,13
187,Male,56,African-American,79,F,0,0,9,3,Low,8
189,Male,52,Caucasian,2,M,0,0,9,6,Medium,3
192,Female,64,Caucasian,48,M,0,0,1,1,Low,2
194,Male,42,Caucasian,5,F,0,0,3,1,Low,6
195,Female,25,Caucasian,1,F,0,0,4,5,Medium,2
197,Male,30,Caucasian,20,M,0,0,2,2,Low,1
199,Male,28,Caucasian,161,F,0,0,1,2,Low,2
200,Female,37,Other,222,M,0,0,2,1,Low,2
203,Female,24,African-American,1,M,0,0,2,3,Low,0
209,Female,30,Hispanic,36,F,1,1,5,5,Medium,4
215,Male,31,African-American,1,M,1,0,2,3,Low,1
218,Female,45,Caucasian,375,F,0,0,4,3,Low,4
220,Female,20,African-American,0,F,0,0,10,10,High,1
222,Female,43,Caucasian,0,M,0,0,1,1,Low,0
224,Male,32,African-American,2,F,1,1,6,5,Medium,11
225,Male,33,African-American,1,M,1,1,5,2,Low,8
231,Female,20,African-American,1,F,0,0,6,8,High,0
232,Female,26,Caucasian,2,M,0,0,6,3,Low,0
236,Male,63,Hispanic,26,F,0,0,1,1,Low,1
238,Female,32,African-American,7,F,1,1,10,9,High,4
239,Male,29,Hispanic,1,F,0,0,4,4,Low,1
240,Female,46,Other,72,F,0,0,2,1,Low,1
242,Male,55,African-American,52,M,0,0,1,1,Low,3
243,Male,39,Caucasian,1672,M,0,0,4,4,Low,1
245,Male,30,African-American,1,F,0,0,7,8,High,1
246,Male,48,Caucasian,1,M,0,0,2,1,Low,2
248,Male,22,African-American,1,F,0,0,2,4,Low,1
251,Female,49,Caucasian,56,F,0,0,6,2,Low,6
252,Male,31,Caucasian,1,F,0,0,5,4,Low,0
257,Male,23,Hispanic,2,F,0,0,3,5,Medium,0
258,Female,32,African-American,1,F,0,0,7,3,Low,5
259,Male,52,Hispanic,1,M,0,0,1,1,Low,2
260,Male,62,African-American,1,F,0,0,4,1,Low,8
262,Female,37,Caucasian,111,F,0,0,10,4,Low,6
263,Male,55,Caucasian,45,F,0,0,1,1,Low,1
265,Male,28,African-American,1,M,1,1,6,6,Medium,6
266,Male,54,Hispanic,1,F,0,0,1,1,Low,2
267,Male,58,Hispanic,1,F,0,0,2,1,Low,0
269,Male,56,Caucasian,1,F,0,0,1,1,Low,0
271,Male,24,Other,1,F,0,0,2,4,Low,0
279,Male,57,Hispanic,0,F,0,0,1,1,Low,1
281,Male,66,African-American,10,F,1,1,1,1,Low,3
287,Male,37,African-American,0,M,1,1,9,8,High,2
291,Male,45,Caucasian,1,F,0,0,3,4,Low,2
293,Male,23,African-American,1,F,1,1,3,4,Low,0
294,Male,34,African-American,1,M,1,0,2,1,Low,2
297,Female,23,African-American,1,M,0,0,4,4,Low,1
299,Male,50,Caucasian,4,F,0,0,1,1,Low,1
300,Female,37,Caucasian,1,M,0,0,3,1,Low,0
301,Male,44,Caucasian,0,M,0,0,4,4,Low,4
308,Male,27,African-American,1,M,0,0,2,3,Low,0
310,Female,28,African-American,1,F,0,0,8,6,Medium,0
311,Male,43,Caucasian,56,F,1,1,5,3,Low,11
315,Male,38,African-American,1,F,0,0,1,1,Low,2
316,Male,27,Caucasian,36,M,0,0,4,3,Low,2
317,Female,28,African-American,1,F,0,0,9,7,Medium,1
320,Male,38,African-American,1,F,0,0,9,3,Low,15
321,Male,28,African-American,2147,M,0,0,5,4,Low,2
322,Male,45,African-American,23,F,0,0,6,4,Low,3
323,Male,28,Hispanic,5,M,0,0,2,3,Low,0
325,Male,61,Caucasian,34,F,0,0,1,1,Low,1
326,Female,51,Caucasian,1,M,1,1,1,1,Low,0
327,Male,51,Caucasian,1,M,0,0,2,2,Low,0
330,Male,48,African-American,1,F,0,0,1,1,Low,0
332,Female,30,African-American,1,F,0,0,7,4,Low,2
333,Female,41,African-American,1,M,0,0,6,3,Low,5
335,Male,37,African-American,1,M,1,1,1,1,Low,0
337,Male,54,African-American,1,F,0,0,9,9,High,11
338,Male,23,African-American,1,F,0,0,9,5,Medium,2
344,Male,41,African-American,0,M,0,0,1,1,Low,0
345,Male,52,Caucasian,1,F,0,0,1,1,Low,0
348,Male,52,African-American,1,F,0,0,4,3,Low,0
349,Male,28,Caucasian,3,F,0,0,1,2,Low,1
350,Male,30,African-American,1,M,1,1,9,4,Low,11
351,Male,28,Caucasian,0,F,0,0,5,3,Low,1
354,Male,22,African-American,1,F,0,0,4,6,Medium,0
355,Male,30,African-American,0,F,0,0,2,2,Low,4
356,Male,25,Hispanic,0,F,0,0,4,4,Low,4
359,Male,32,African-American,1,F,0,0,9,8,High,14
360,Male,26,African-American,1562,M,0,0,8,6,Medium,4
361,Male,53,Caucasian,1,M,0,0,1,1,Low,1
364,Male,25,African-American,1,F,0,0,3,4,Low,0
369,Female,37,Other,2,M,0,0,1,1,Low,0
372,Female,40,Other,1,F,0,0,2,1,Low,3
374,Male,36,Caucasian,0,F,1,1,7,9,High,8
375,Male,30,Caucasian,140,F,0,0,2,2,Low,4
376,Male,22,African-American,208,M,1,1,9,9,High,3
377,Female,24,Caucasian,32,M,1,1,7,5,Medium,1
379,Female,31,Hispanic,1,M,0,0,2,2,Low,0
383,Male,24,Hispanic,3,M,0,0,8,7,Medium,0
384,Male,29,African-American,1,M,0,0,3,3,Low,1
385,Male,20,African-American,1,F,1,1,8,7,Medium,1
389,Male,39,Other,1,F,0,0,1,1,Low,0
390,Male,27,African-American,1,F,0,0,4,4,Low,4
392,Male,31,Caucasian,1016,M,1,0,4,3,Low,2
393,Female,37,African-American,0,F,0,0,1,1,Low,2
396,Male,20,African-American,1,F,0,0,8,6,Medium,0
398,Male,22,Hispanic,0,F,0,0,7,6,Medium,0
399,Female,52,African-American,1,F,0,0,1,1,Low,0
402,Female,48,African-American,1,F,0,0,2,3,Low,0
404,Male,25,Caucasian,1,F,0,0,5,4,Low,0
405,Male,27,Caucasian,1,F,1,1,6,7,Medium,0
408,Female,22,Caucasian,1,F,0,0,3,4,Low,1
409,Male,35,African-American,1,F,0,0,10,8,High,2
410,Male,32,Caucasian,232,F,0,0,4,4,Low,2
411,Female,41,African-American,1,M,0,0,3,1,Low,2
414,Female,25,Other,1,F,0,0,2,3,Low,0
415,Male,44,African-American,31,M,0,0,7,3,Low,24
417,Male,43,African-American,1,F,0,0,1,1,Low,0
423,Male,37,Caucasian,4,F,0,0,1,1,Low,3
424,Male,28,African-American,100,M,1,1,4,3,Low,3
425,Male,70,Caucasian,13,M,0,0,1,1,Low,1
428,Male,46,Caucasian,1,F,0,0,4,2,Low,3
430,Male,26,African-American,1,M,1,1,8,6,Medium,1
432,Male,34,Caucasian,1,M,0,0,4,4,Low,5
435,Male,34,African-American,1,M,0,0,4,4,Low,5
439,Male,30,African-American,83,F,0,0,1,2,Low,2
441,Male,24,Other,1,F,0,0,3,5,Medium,0
442,Male,33,Caucasian,93,M,1,1,3,2,Low,1
445,Male,58,Caucasian,1,F,0,0,3,1,Low,2
446,Female,21,African-American,0,M,0,0,6,7,Medium,0
450,Male,21,African-American,36,F,1,0,5,7,Medium,1
452,Male,62,Caucasian,0,F,0,0,1,1,Low,0
456,Male,37,Caucasian,1,F,0,0,3,1,Low,5
459,Female,32,African-American,2,F,0,0,1,1,Low,5
461,Male,23,Hispanic,1,F,0,0,3,5,Medium,0
462,Male,27,African-American,1,M,0,0,1,2,Low,0
465,Female,42,Caucasian,3,F,0,0,2,1,Low,0
467,Male,24,Other,1,F,1,1,10,10,High,9
468,Male,27,African-American,0,F,0,0,2,3,Low,0
474,Female,51,Caucasian,1,M,0,0,1,1,Low,0
475,Male,56,Caucasian,1,M,0,0,1,1,Low,0
478,Male,29,African-American,1,F,0,0,9,6,Medium,7
481,Male,53,Caucasian,176,F,0,0,1,1,Low,6
484,Male,27,Caucasian,1,F,0,0,5,3,Low,8
485,Male,24,African-American,1,F,1,1,9,9,High,2
489,Male,28,Caucasian,1,M,1,1,3,4,Low,2
493,Male,45,African-American,1,F,0,0,1,1,Low,1
494,Male,21,Hispanic,22,F,1,0,5,6,Medium,3
495,Female,36,African-American,1,F,0,0,7,5,Medium,0
497,Female,23,Hispanic,1,M,1,0,3,4,Low,1
499,Male,28,Caucasian,4,F,0,0,5,3,Low,1
501,Male,36,Caucasian,1,M,0,0,3,3,Low,0
502,Male,24,African-American,1,F,0,0,3,4,Low,0
505,Male,29,African-American,1,F,0,0,1,2,Low,0
509,Female,30,Caucasian,1,M,0,0,6,2,Low,0
510,Male,51,Hispanic,2,M,0,0,1,1,Low,1
511,Male,33,Other,94,F,0,0,1,1,Low,3
512,Female,25,African-American,86,F,0,0,6,5,Medium,2
516,Male,32,African-American,1,F,1,1,9,7,Medium,12
517,Male,23,African-American,1,F,0,0,6,5,Medium,1
518,Male,47,African-American,0,F,0,0,3,2,Low,3
522,Male,37,Caucasian,0,F,0,0,1,1,Low,0
524,Male,27,Hispanic,1,M,0,0,8,6,Medium,0
525,Male,39,Other,1,M,0,0,1,1,Low,0
526,Female,21,Caucasian,0,F,0,0,6,8,High,0
527,Male,69,Caucasian,1,M,0,0,1,1,Low,0
530,Male,21,Caucasian,1,F,0,0,6,6,Medium,2
532,Male,22,Caucasian,3,F,0,0,4,5,Medium,0
537,Male,49,African-American,1,F,0,0,5,4,Low,3
538,Male,29,African-American,1,M,1,0,4,3,Low,2
540,Female,60,Caucasian,1,M,0,0,1,1,Low,0
541,Female,26,African-American,,M,0,0,10,10,High,0
543,Male,34,Hispanic,271,M,1,1,5,2,Low,2
545,Female,20,Other,21,F,0,0,4,7,Medium,1
546,Male,36,Hispanic,1,F,0,0,3,2,Low,1
547,Male,30,Caucasian,1,F,0,0,4,3,Low,0
548,Male,21,African-American,2,F,1,0,3,6,Medium,1
553,Male,57,African-American,1834,F,0,0,8,7,Medium,18
561,Male,34,Caucasian,0,M,0,0,1,1,Low,1
567,Female,53,Caucasian,1,M,0,0,1,1,Low,1
569,Female,24,African-American,1,F,0,0,4,4,Low,0
572,Male,42,African-American,13,F,0,0,1,1,Low,1
573,Male,28,African-American,1,M,0,0,3,3,Low,1
574,Male,24,Caucasian,37,M,0,0,4,4,Low,1
579,Male,22,African-American,1,F,1,1,9,9,High,4
580,Male,21,Caucasian,8,M,0,0,7,8,High,3
584,Male,35,African-American,1,F,0,0,5,5,Medium,2
586,Male,53,African-American,1,F,0,0,1,1,Low,2
587,Male,60,African-American,1183,F,0,0,1,1,Low,1
588,Male,29,African-American,1,F,1,0,4,3,Low,7
590,Male,48,Caucasian,1,F,1,1,8,5,Medium,23
594,Female,52,Caucasian,1,M,0,0,1,1,Low,0
598,Male,28,African-American,0,F,1,0,9,6,Medium,5
599,Male,33,Caucasian,1,M,0,0,3,1,Low,3
600,Female,28,Hispanic,1,F,0,0,2,2,Low,0
603,Male,29,African-American,1,F,0,0,5,5,Medium,2
605,Male,26,African-American,35,F,0,0,7,7,Medium,6
608,Male,25,Caucasian,1,F,0,0,2,3,Low,0
609,Male,68,Caucasian,150,F,0,0,1,1,Low,2
611,Male,56,African-American,1,F,0,0,3,3,Low,5
612,Male,27,African-American,1,F,1,1,8,8,High,9
616,Male,32,African-American,1,F,0,0,2,2,Low,3
617,Male,60,Other,1,F,0,0,1,1,Low,4
621,Male,23,Hispanic,5,M,0,0,3,4,Low,1
622,Female,39,Caucasian,2,M,0,0,6,2,Low,0
623,Male,56,Caucasian,1,M,0,0,1,1,Low,0
624,Female,22,African-American,1,F,0,0,7,8,High,0
627,Male,53,African-American,1,F,0,0,6,3,Low,11
629,Male,21,Hispanic,0,M,0,0,3,6,Medium,0
